movie,year,certificate,genre.1,genre.2,genre.3,imdb_rating,metascore,time_minute,vote,gross_earning
All About Eve,(1950),'-,Drama,'-,'-,8.2,98,138 min,132858,$0.01M
Ondskan,(2003),'-,Drama,'-,'-,7.7,61,113 min,39745,$0.02M
8½,(1963),'-,Drama,'-,'-,8,93,138 min,120212,$0.05M
The Grapes of Wrath,(1940),'-,Drama,'-,'-,8.1,96,129 min,95251,$0.06M
Detachment,(2011),'-,Drama,'-,'-,7.7,52,98 min,88832,$0.07M
Umberto D.,(1952),'-,Drama,'-,'-,8.2,92,89 min,26574,$0.07M
Kis Uykusu,(2014),'-,Drama,'-,'-,8.1,88,196 min,52685,$0.17M
Soshite chichi ni naru,(2013),'-,Drama,'-,'-,7.8,73,121 min,26019,$0.28M
Ta'm e guilass,(1997),'-,Drama,'-,'-,7.7,80,95 min,32607,$0.31M
Vozvrashchenie,(2003),'-,Drama,'-,'-,7.9,82,110 min,46177,$0.50M
Auf der anderen Seite,(2007),'-,Drama,'-,'-,7.7,85,122 min,32605,$0.74M
Le notti di Cabiria,(1957),'-,Drama,'-,'-,8.1,'-,110 min,49996,$0.75M
"4 luni, 3 saptamâni si 2 zile",(2007),'-,Drama,'-,'-,7.9,97,113 min,61375,$1.19M
La grande bellezza,(2013),'-,Drama,'-,'-,7.7,86,141 min,93075,$2.85M
Babam ve Oglum,(2005),'-,Drama, Family,'-,8.2,'-,112 min,87579,#235
El ángel exterminador,(1962),'-,Drama, Fantasy,'-,8,'-,95 min,33860,'-
Yume,(1990),'-,Drama, Fantasy,'-,7.7,'-,119 min,27285,$1.96M
The Man from Earth,(2007),'-,Drama, Fantasy, Mystery,7.9,'-,87 min,190758,'-
La belle et la bête,(1946),'-,Drama, Fantasy, Romance,7.9,92,96 min,27011,$0.30M
Sunset Blvd.,(1950),'-,Drama, Film-Noir,'-,8.4,'-,110 min,224854,#59
Ace in the Hole,(1951),'-,Drama, Film-Noir,'-,8.1,72,111 min,37013,$3.97M
The Lost Weekend,(1945),'-,Drama, Film-Noir,'-,7.9,'-,101 min,38135,$9.46M
In a Lonely Place,(1950),'-,Drama, Film-Noir, Mystery,7.9,'-,94 min,32670,'-
Laura,(1944),'-,Drama, Film-Noir, Mystery,7.9,'-,88 min,48600,$4.36M
Rebecca,(1940),'-,Drama, Film-Noir, Mystery,8.1,86,130 min,139502,$4.36M
Il gattopardo,(1963),'-,Drama, History,'-,8,100,186 min,26977,'-
Bronenosets Potemkin,(1925),'-,Drama, History, Thriller,7.9,97,75 min,59021,$0.05M
"Quo vadis, Aida?",(2020),'-,Drama, History, War,8,97,101 min,35166,'-
Freaks,(1932),'-,Drama, Horror,'-,7.8,80,64 min,47862,$0.63M
Invasion of the Body Snatchers,(1956),'-,Drama, Horror, Sci-Fi,7.7,92,80 min,51646,'-
Bride of Frankenstein,(1935),'-,Drama, Horror, Sci-Fi,7.8,95,75 min,50103,$4.36M
